Subject,2 Hz Cz,Std Skills
1,7.32,-1.91
2,5.24,-0.57
3,5.02,0.33
4,7.17,-0.03
5,5.72,-1.91
6,9.29,-3.43
7,6.63,0.51
8,5.93,0.51
9,4.51,-0.12
10,5.76,-0.30
11,5.64,0.06
12,5.10,-0.30
13,6.78,0.42
14,6.06,-1.46
15,7.37,0.24
16,6.44,0.87
17,8.32,-3.43
18,6.33,0.42
1,7.40,-0.30
2,5.22,0.33
3,5.06,0.06
4,8.11,0.24
5,6.61,-2.00
6,7.88,0.06
7,5.31,-0.21
8,6.11,0.87
9,4.60,1.05
10,5.30,0.33
11,5.79,0.42
12,6.40,0.60
13,6.24,0.51
14,5.78,-0.83
15,7.69,0.51
16,5.38,1.00
17,8.09,0.33
18,6.28,1.05
1,8.22,0.24
2,4.90,0.37
3,4.87,0.33
4,6.67,0.24
5,7.02,-1.01
6,7.72,0.69
7,6.62,-0.66
8,6.06,0.96
9,4.62,1.00
10,6.39,0.33
11,5.45,0.69
12,5.53,-0.48
13,8.24,0.78
14,5.38,0.06
15,7.58,0.42
16,5.84,1.05
17,7.41,0.51
18,5.63,0.60
1,7.32,-0.32
2,5.24,0.47
3,5.02,0.38
4,7.17,0.21
5,5.72,-0.85
6,9.29,-3.32
7,6.63,0.03
8,5.93,0.82
9,4.51,0.47
10,5.76,0.47
11,5.64,0.29
12,5.10,-2.70
13,6.78,-0.15
14,6.06,-0.23
15,7.37,-0.68
16,6.44,1.00
17,8.32,-3.32
18,6.33,0.29
1,7.40,0.73
2,5.22,-0.59
3,5.06,-0.32
4,8.11,0.65
5,6.61,-1.56
6,7.88,-0.15
7,5.31,0.12
8,6.11,0.73
9,4.60,1.04
10,5.30,-0.85
11,5.79,0.73
12,6.40,-0.23
13,6.24,0.12
14,5.78,0.12
15,7.69,-0.06
16,5.38,1.04
17,8.09,-0.15
18,6.28,0.82
1,8.22,0.65
2,4.90,-1.91
3,4.87,0.21
4,6.67,0.56
5,7.02,-0.59
6,7.72,0.65
7,6.62,-0.41
8,6.06,1.09
9,4.62,1.09
10,6.39,0.12
11,5.45,0.82
12,5.53,-0.06
13,8.24,1.00
14,5.38,0.38
15,7.58,-0.32
16,5.84,1.00
17,7.41,0.12
18,5.63,0.56
1,7.32,0.49
2,5.24,0.57
3,5.02,0.32
4,7.17,0.53
5,5.72,0.14
6,9.29,-0.89
7,6.63,-0.63
8,5.93,0.53
9,4.51,0.57
10,5.76,0.57
11,5.64,0.66
12,5.10,0.53
13,6.78,-1.32
14,6.06,0.06
15,7.37,-1.75
16,6.44,0.49
17,8.32,-3.74
18,6.33,0.57
1,7.40,0.57
2,5.22,0.40
3,5.06,0.57
4,8.11,0.49
5,6.61,0.57
6,7.88,-0.46
7,5.31,-0.29
8,6.11,0.57
9,4.60,0.57
10,5.30,0.57
11,5.79,0.40
12,6.40,0.40
13,6.24,-0.03
14,5.78,-1.24
15,7.69,-1.58
16,5.38,0.57
17,8.09,-3.31
18,6.28,0.57
1,8.22,0.57
2,4.90,0.57
3,4.87,0.57
4,6.67,0.49
5,7.02,0.57
6,7.72,0.23
7,6.62,-0.37
8,6.06,0.57
9,4.62,0.57
10,6.39,0.57
11,5.45,0.57
12,5.53,0.53
13,8.24,0.44
14,5.38,-0.81
15,7.58,-1.06
16,5.84,0.57
17,7.41,-2.27
18,5.63,0.57
1,7.32,0.05
2,5.24,-1.79
3,5.02,-0.32
4,7.17,-0.69
5,5.72,0.78
6,9.29,-0.32
7,6.63,-1.42
8,5.93,0.78
9,4.51,0.78
10,5.76,0.78
11,5.64,0.42
12,5.10,0.05
13,6.78,-1.06
14,6.06,-1.42
15,7.37,-1.06
16,6.44,0.78
17,8.32,-2.16
18,6.33,-0.69
1,7.40,-0.69
2,5.22,-0.69
3,5.06,-0.69
4,8.11,0.78
5,6.61,0.78
6,7.88,0.42
7,5.31,-0.32
8,6.11,0.78
9,4.60,1.52
10,5.30,0.78
11,5.79,0.78
12,6.40,0.05
13,6.24,-0.32
14,5.78,-1.06
15,7.69,-0.69
16,5.38,1.52
17,8.09,-1.42
18,6.28,-0.69
1,8.22,-0.69
2,4.90,-1.42
3,4.87,0.05
4,6.67,0.78
5,7.02,0.78
6,7.72,0.78
7,6.62,-0.69
8,6.06,1.52
9,4.62,1.52
10,6.39,1.52
11,5.45,0.78
12,5.53,0.78
13,8.24,0.78
14,5.38,-1.06
15,7.58,0.78
16,5.84,1.52
17,7.41,-1.79
18,5.63,-0.32
1,7.32,0.63
2,5.24,-0.15
3,5.02,-0.15
4,7.17,-0.15
5,5.72,-0.15
6,9.29,-0.94
7,6.63,-1.73
8,5.93,0.63
9,4.51,1.03
10,5.76,0.63
11,5.64,-0.15
12,5.10,0.63
13,6.78,-0.94
14,6.06,-0.55
15,7.37,-1.73
16,6.44,0.63
17,8.32,-2.51
18,6.33,-0.15
1,7.40,-0.15
2,5.22,-0.15
3,5.06,-0.15
4,8.11,0.24
5,6.61,0.63
6,7.88,-0.55
7,5.31,-0.55
8,6.11,1.42
9,4.60,1.42
10,5.30,-0.15
11,5.79,0.24
12,6.40,0.63
13,6.24,-0.55
14,5.78,-1.73
15,7.69,-1.73
16,5.38,1.03
17,8.09,-1.73
18,6.28,0.63
1,8.22,0.63
2,4.90,-0.15
3,4.87,0.24
4,6.67,0.63
5,7.02,0.63
6,7.72,0.63
7,6.62,-0.55
8,6.06,1.42
9,4.62,1.42
10,6.39,1.42
11,5.45,0.63
12,5.53,-0.15
13,8.24,0.63
14,5.38,0.63
15,7.58,-1.73
16,5.84,1.42
17,7.41,-2.12
18,5.63,0.63
1,7.32,-0.97
2,5.24,-0.97
3,5.02,0.60
4,7.17,-0.97
5,5.72,-0.45
6,9.29,-0.97
7,6.63,-0.45
8,5.93,1.39
9,4.51,1.13
10,5.76,0.86
11,5.64,-0.45
12,5.10,0.60
13,6.78,-0.45
14,6.06,-0.97
15,7.37,-0.97
16,6.44,1.13
17,8.32,-0.97
18,6.33,-0.45
1,7.40,-0.97
2,5.22,-0.97
3,5.06,0.86
4,8.11,-0.71
5,6.61,-0.97
6,7.88,-0.97
7,5.31,-0.97
8,6.11,1.65
9,4.60,1.65
10,5.30,-0.71
11,5.79,1.13
12,6.40,0.08
13,6.24,-0.45
14,5.78,-0.97
15,7.69,-0.97
16,5.38,1.39
17,8.09,-0.97
18,6.28,1.13
1,8.22,-0.97
2,4.90,-0.97
3,4.87,0.34
4,6.67,0.60
5,7.02,0.60
6,7.72,1.39
7,6.62,-0.97
8,6.06,1.39
9,4.62,1.65
10,6.39,1.65
11,5.45,1.13
12,5.53,0.34
13,8.24,0.86
14,5.38,-0.97
15,7.58,-0.45
16,5.84,1.39
17,7.41,-0.97
18,5.63,-0.97
1,7.29,-1.91
2,4.34,-0.57
3,4.47,0.33
4,5.98,-0.03
5,6.02,-1.91
6,8.30,-3.43
7,6.44,0.51
8,5.47,0.51
9,3.88,-0.12
10,5.40,-0.30
11,5.69,0.06
12,4.83,-0.30
13,6.90,0.42
14,5.52,-1.46
15,7.06,0.24
16,6.22,0.87
17,10.96,-3.43
18,6.09,0.42
1,6.91,-0.30
2,4.43,0.33
3,4.69,0.06
4,6.84,0.24
5,6.20,-2.00
6,7.48,0.06
7,5.58,-0.21
8,5.32,0.87
9,4.01,1.05
10,4.84,0.33
11,5.56,0.42
12,6.78,0.60
13,5.98,0.51
14,6.20,-0.83
15,7.06,0.51
16,5.15,1.00
17,10.20,0.33
18,5.55,1.05
1,9.12,0.24
2,4.52,0.37
3,4.77,0.33
4,6.02,0.24
5,6.08,-1.01
6,6.97,0.69
7,5.50,-0.66
8,5.61,0.96
9,4.24,1.00
10,5.30,0.33
11,5.46,0.69
12,5.40,-0.48
13,8.02,0.78
14,5.72,0.06
15,7.45,0.42
16,5.44,1.05
17,9.25,0.51
18,5.29,0.60
1,7.29,-0.32
2,4.34,0.47
3,4.47,0.38
4,5.98,0.21
5,6.02,-0.85
6,8.30,-3.32
7,6.44,0.03
8,5.47,0.82
9,3.88,0.47
10,5.40,0.47
11,5.69,0.29
12,4.83,-2.70
13,6.90,-0.15
14,5.52,-0.23
15,7.06,-0.68
16,6.22,1.00
17,10.96,-3.32
18,6.09,0.29
1,6.91,0.73
2,4.43,-0.59
3,4.69,-0.32
4,6.84,0.65
5,6.20,-1.56
6,7.48,-0.15
7,5.58,0.12
8,5.32,0.73
9,4.01,1.04
10,4.84,-0.85
11,5.56,0.73
12,6.78,-0.23
13,5.98,0.12
14,6.20,0.12
15,7.06,-0.06
16,5.15,1.04
17,10.20,-0.15
18,5.55,0.82
1,9.12,0.65
2,4.52,-1.91
3,4.77,0.21
4,6.02,0.56
5,6.08,-0.59
6,6.97,0.65
7,5.50,-0.41
8,5.61,1.09
9,4.24,1.09
10,5.30,0.12
11,5.46,0.82
12,5.40,-0.06
13,8.02,1.00
14,5.72,0.38
15,7.45,-0.32
16,5.44,1.00
17,9.25,0.12
18,5.29,0.56
1,7.29,0.49
2,4.34,0.57
3,4.47,0.32
4,5.98,0.53
5,6.02,0.14
6,8.30,-0.89
7,6.44,-0.63
8,5.47,0.53
9,3.88,0.57
10,5.40,0.57
11,5.69,0.66
12,4.83,0.53
13,6.90,-1.32
14,5.52,0.06
15,7.06,-1.75
16,6.22,0.49
17,10.96,-3.74
18,6.09,0.57
1,6.91,0.57
2,4.43,0.40
3,4.69,0.57
4,6.84,0.49
5,6.20,0.57
6,7.48,-0.46
7,5.58,-0.29
8,5.32,0.57
9,4.01,0.57
10,4.84,0.57
11,5.56,0.40
12,6.78,0.40
13,5.98,-0.03
14,6.20,-1.24
15,7.06,-1.58
16,5.15,0.57
17,10.20,-3.31
18,5.55,0.57
1,9.12,0.57
2,4.52,0.57
3,4.77,0.57
4,6.02,0.49
5,6.08,0.57
6,6.97,0.23
7,5.50,-0.37
8,5.61,0.57
9,4.24,0.57
10,5.30,0.57
11,5.46,0.57
12,5.40,0.53
13,8.02,0.44
14,5.72,-0.81
15,7.45,-1.06
16,5.44,0.57
17,9.25,-2.27
18,5.29,0.57
1,7.29,0.05
2,4.34,-1.79
3,4.47,-0.32
4,5.98,-0.69
5,6.02,0.78
6,8.30,-0.32
7,6.44,-1.42
8,5.47,0.78
9,3.88,0.78
10,5.40,0.78
11,5.69,0.42
12,4.83,0.05
13,6.90,-1.06
14,5.52,-1.42
15,7.06,-1.06
16,6.22,0.78
17,10.96,-2.16
18,6.09,-0.69
1,6.91,-0.69
2,4.43,-0.69
3,4.69,-0.69
4,6.84,0.78
5,6.20,0.78
6,7.48,0.42
7,5.58,-0.32
8,5.32,0.78
9,4.01,1.52
10,4.84,0.78
11,5.56,0.78
12,6.78,0.05
13,5.98,-0.32
14,6.20,-1.06
15,7.06,-0.69
16,5.15,1.52
17,10.20,-1.42
18,5.55,-0.69
1,9.12,-0.69
2,4.52,-1.42
3,4.77,0.05
4,6.02,0.78
5,6.08,0.78
6,6.97,0.78
7,5.50,-0.69
8,5.61,1.52
9,4.24,1.52
10,5.30,1.52
11,5.46,0.78
12,5.40,0.78
13,8.02,0.78
14,5.72,-1.06
15,7.45,0.78
16,5.44,1.52
17,9.25,-1.79
18,5.29,-0.32
1,7.29,0.63
2,4.34,-0.15
3,4.47,-0.15
4,5.98,-0.15
5,6.02,-0.15
6,8.30,-0.94
7,6.44,-1.73
8,5.47,0.63
9,3.88,1.03
10,5.40,0.63
11,5.69,-0.15
12,4.83,0.63
13,6.90,-0.94
14,5.52,-0.55
15,7.06,-1.73
16,6.22,0.63
17,10.96,-2.51
18,6.09,-0.15
1,6.91,-0.15
2,4.43,-0.15
3,4.69,-0.15
4,6.84,0.24
5,6.20,0.63
6,7.48,-0.55
7,5.58,-0.55
8,5.32,1.42
9,4.01,1.42
10,4.84,-0.15
11,5.56,0.24
12,6.78,0.63
13,5.98,-0.55
14,6.20,-1.73
15,7.06,-1.73
16,5.15,1.03
17,10.20,-1.73
18,5.55,0.63
1,9.12,0.63
2,4.52,-0.15
3,4.77,0.24
4,6.02,0.63
5,6.08,0.63
6,6.97,0.63
7,5.50,-0.55
8,5.61,1.42
9,4.24,1.42
10,5.30,1.42
11,5.46,0.63
12,5.40,-0.15
13,8.02,0.63
14,5.72,0.63
15,7.45,-1.73
16,5.44,1.42
17,9.25,-2.12
18,5.29,0.63
1,7.29,-0.97
2,4.34,-0.97
3,4.47,0.60
4,5.98,-0.97
5,6.02,-0.45
6,8.30,-0.97
7,6.44,-0.45
8,5.47,1.39
9,3.88,1.13
10,5.40,0.86
11,5.69,-0.45
12,4.83,0.60
13,6.90,-0.45
14,5.52,-0.97
15,7.06,-0.97
16,6.22,1.13
17,10.96,-0.97
18,6.09,-0.45
1,6.91,-0.97
2,4.43,-0.97
3,4.69,0.86
4,6.84,-0.71
5,6.20,-0.97
6,7.48,-0.97
7,5.58,-0.97
8,5.32,1.65
9,4.01,1.65
10,4.84,-0.71
11,5.56,1.13
12,6.78,0.08
13,5.98,-0.45
14,6.20,-0.97
15,7.06,-0.97
16,5.15,1.39
17,10.20,-0.97
18,5.55,1.13
1,9.12,-0.97
2,4.52,-0.97
3,4.77,0.34
4,6.02,0.60
5,6.08,0.60
6,6.97,1.39
7,5.50,-0.97
8,5.61,1.39
9,4.24,1.65
10,5.30,1.65
11,5.46,1.13
12,5.40,0.34
13,8.02,0.86
14,5.72,-0.97
15,7.45,-0.45
16,5.44,1.39
17,9.25,-0.97
18,5.29,-0.97
1,7.59,-1.91
2,3.81,-0.57
3,4.68,0.33
4,6.20,-0.03
5,6.07,-1.91
6,7.23,-3.43
7,6.32,0.51
8,6.22,0.51
9,4.33,-0.12
10,5.23,-0.30
11,5.44,0.06
12,5.77,-0.30
13,4.58,0.42
14,5.66,-1.46
15,6.96,0.24
16,5.33,0.87
17,11.36,-3.43
18,5.53,0.42
1,7.58,-0.30
2,4.17,0.33
3,4.06,0.06
4,6.84,0.24
5,5.29,-2.00
6,7.76,0.06
7,5.59,-0.21
8,5.62,0.87
9,3.74,1.05
10,4.38,0.33
11,5.16,0.42
12,5.48,0.60
13,5.36,0.51
14,5.54,-0.83
15,6.65,0.51
16,4.70,1.00
17,9.44,0.33
18,5.90,1.05
1,8.33,0.24
2,4.16,0.37
3,3.86,0.33
4,5.36,0.24
5,6.37,-1.01
6,6.22,0.69
7,5.41,-0.66
8,6.62,0.96
9,4.10,1.00
10,4.66,0.33
11,5.05,0.69
12,5.51,-0.48
13,6.04,0.78
14,5.75,0.06
15,7.29,0.42
16,4.95,1.05
17,11.47,0.51
18,6.05,0.60
1,7.59,-0.32
2,3.81,0.47
3,4.68,0.38
4,6.20,0.21
5,6.07,-0.85
6,7.23,-3.32
7,6.32,0.03
8,6.22,0.82
9,4.33,0.47
10,5.23,0.47
11,5.44,0.29
12,5.77,-2.70
13,4.58,-0.15
14,5.66,-0.23
15,6.96,-0.68
16,5.33,1.00
17,11.36,-3.32
18,5.53,0.29
1,7.58,0.73
2,4.17,-0.59
3,4.06,-0.32
4,6.84,0.65
5,5.29,-1.56
6,7.76,-0.15
7,5.59,0.12
8,5.62,0.73
9,3.74,1.04
10,4.38,-0.85
11,5.16,0.73
12,5.48,-0.23
13,5.36,0.12
14,5.54,0.12
15,6.65,-0.06
16,4.70,1.04
17,9.44,-0.15
18,5.90,0.82
1,8.33,0.65
2,4.16,-1.91
3,3.86,0.21
4,5.36,0.56
5,6.37,-0.59
6,6.22,0.65
7,5.41,-0.41
8,6.62,1.09
9,4.10,1.09
10,4.66,0.12
11,5.05,0.82
12,5.51,-0.06
13,6.04,1.00
14,5.75,0.38
15,7.29,-0.32
16,4.95,1.00
17,11.47,0.12
18,6.05,0.56
1,7.59,0.49
2,3.81,0.57
3,4.68,0.32
4,6.20,0.53
5,6.07,0.14
6,7.23,-0.89
7,6.32,-0.63
8,6.22,0.53
9,4.33,0.57
10,5.23,0.57
11,5.44,0.66
12,5.77,0.53
13,4.58,-1.32
14,5.66,0.06
15,6.96,-1.75
16,5.33,0.49
17,11.36,-3.74
18,5.53,0.57
1,7.58,0.57
2,4.17,0.40
3,4.06,0.57
4,6.84,0.49
5,5.29,0.57
6,7.76,-0.46
7,5.59,-0.29
8,5.62,0.57
9,3.74,0.57
10,4.38,0.57
11,5.16,0.40
12,5.48,0.40
13,5.36,-0.03
14,5.54,-1.24
15,6.65,-1.58
16,4.70,0.57
17,9.44,-3.31
18,5.90,0.57
1,8.33,0.57
2,4.16,0.57
3,3.86,0.57
4,5.36,0.49
5,6.37,0.57
6,6.22,0.23
7,5.41,-0.37
8,6.62,0.57
9,4.10,0.57
10,4.66,0.57
11,5.05,0.57
12,5.51,0.53
13,6.04,0.44
14,5.75,-0.81
15,7.29,-1.06
16,4.95,0.57
17,11.47,-2.27
18,6.05,0.57
1,7.59,0.05
2,3.81,-1.79
3,4.68,-0.32
4,6.20,-0.69
5,6.07,0.78
6,7.23,-0.32
7,6.32,-1.42
8,6.22,0.78
9,4.33,0.78
10,5.23,0.78
11,5.44,0.42
12,5.77,0.05
13,4.58,-1.06
14,5.66,-1.42
15,6.96,-1.06
16,5.33,0.78
17,11.36,-2.16
18,5.53,-0.69
1,7.58,-0.69
2,4.17,-0.69
3,4.06,-0.69
4,6.84,0.78
5,5.29,0.78
6,7.76,0.42
7,5.59,-0.32
8,5.62,0.78
9,3.74,1.52
10,4.38,0.78
11,5.16,0.78
12,5.48,0.05
13,5.36,-0.32
14,5.54,-1.06
15,6.65,-0.69
16,4.70,1.52
17,9.44,-1.42
18,5.90,-0.69
1,8.33,-0.69
2,4.16,-1.42
3,3.86,0.05
4,5.36,0.78
5,6.37,0.78
6,6.22,0.78
7,5.41,-0.69
8,6.62,1.52
9,4.10,1.52
10,4.66,1.52
11,5.05,0.78
12,5.51,0.78
13,6.04,0.78
14,5.75,-1.06
15,7.29,0.78
16,4.95,1.52
17,11.47,-1.79
18,6.05,-0.32
1,7.59,0.63
2,3.81,-0.15
3,4.68,-0.15
4,6.20,-0.15
5,6.07,-0.15
6,7.23,-0.94
7,6.32,-1.73
8,6.22,0.63
9,4.33,1.03
10,5.23,0.63
11,5.44,-0.15
12,5.77,0.63
13,4.58,-0.94
14,5.66,-0.55
15,6.96,-1.73
16,5.33,0.63
17,11.36,-2.51
18,5.53,-0.15
1,7.58,-0.15
2,4.17,-0.15
3,4.06,-0.15
4,6.84,0.24
5,5.29,0.63
6,7.76,-0.55
7,5.59,-0.55
8,5.62,1.42
9,3.74,1.42
10,4.38,-0.15
11,5.16,0.24
12,5.48,0.63
13,5.36,-0.55
14,5.54,-1.73
15,6.65,-1.73
16,4.70,1.03
17,9.44,-1.73
18,5.90,0.63
1,8.33,0.63
2,4.16,-0.15
3,3.86,0.24
4,5.36,0.63
5,6.37,0.63
6,6.22,0.63
7,5.41,-0.55
8,6.62,1.42
9,4.10,1.42
10,4.66,1.42
11,5.05,0.63
12,5.51,-0.15
13,6.04,0.63
14,5.75,0.63
15,7.29,-1.73
16,4.95,1.42
17,11.47,-2.12
18,6.05,0.63
1,7.59,-0.97
2,3.81,-0.97
3,4.68,0.60
4,6.20,-0.97
5,6.07,-0.45
6,7.23,-0.97
7,6.32,-0.45
8,6.22,1.39
9,4.33,1.13
10,5.23,0.86
11,5.44,-0.45
12,5.77,0.60
13,4.58,-0.45
14,5.66,-0.97
15,6.96,-0.97
16,5.33,1.13
17,11.36,-0.97
18,5.53,-0.45
1,7.58,-0.97
2,4.17,-0.97
3,4.06,0.86
4,6.84,-0.71
5,5.29,-0.97
6,7.76,-0.97
7,5.59,-0.97
8,5.62,1.65
9,3.74,1.65
10,4.38,-0.71
11,5.16,1.13
12,5.48,0.08
13,5.36,-0.45
14,5.54,-0.97
15,6.65,-0.97
16,4.70,1.39
17,9.44,-0.97
18,5.90,1.13
1,8.33,-0.97
2,4.16,-0.97
3,3.86,0.34
4,5.36,0.60
5,6.37,0.60
6,6.22,1.39
7,5.41,-0.97
8,6.62,1.39
9,4.10,1.65
10,4.66,1.65
11,5.05,1.13
12,5.51,0.34
13,6.04,0.86
14,5.75,-0.97
15,7.29,-0.45
16,4.95,1.39
17,11.47,-0.97
18,6.05,-0.97
1,6.94,-1.91
2,3.70,-0.57
3,4.51,0.33
4,4.98,-0.03
5,6.75,-1.91
6,7.30,-3.43
7,6.02,0.51
8,5.24,0.51
9,3.96,-0.12
10,4.88,-0.30
11,5.06,0.06
12,5.03,-0.30
13,4.23,0.42
14,5.71,-1.46
15,6.03,0.24
16,4.44,0.87
17,7.20,-3.43
18,6.20,0.42
1,7.52,-0.30
2,3.94,0.33
3,3.70,0.06
4,6.80,0.24
5,6.06,-2.00
6,8.10,0.06
7,6.41,-0.21
8,5.49,0.87
9,3.46,1.05
10,4.30,0.33
11,4.98,0.42
12,5.45,0.60
13,4.03,0.51
14,4.71,-0.83
15,6.19,0.51
16,4.64,1.00
17,6.96,0.33
18,4.69,1.05
1,6.46,0.24
2,3.96,0.37
3,4.09,0.33
4,5.44,0.24
5,6.35,-1.01
6,5.86,0.69
7,5.88,-0.66
8,5.78,0.96
9,3.59,1.00
10,4.50,0.33
11,5.07,0.69
12,5.12,-0.48
13,5.16,0.78
14,5.49,0.06
15,6.81,0.42
16,4.97,1.05
17,8.52,0.51
18,5.76,0.60
1,6.94,-0.32
2,3.70,0.47
3,4.51,0.38
4,4.98,0.21
5,6.75,-0.85
6,7.30,-3.32
7,6.02,0.03
8,5.24,0.82
9,3.96,0.47
10,4.88,0.47
11,5.06,0.29
12,5.03,-2.70
13,4.23,-0.15
14,5.71,-0.23
15,6.03,-0.68
16,4.44,1.00
17,7.20,-3.32
18,6.20,0.29
1,7.52,0.73
2,3.94,-0.59
3,3.70,-0.32
4,6.80,0.65
5,6.06,-1.56
6,8.10,-0.15
7,6.41,0.12
8,5.49,0.73
9,3.46,1.04
10,4.30,-0.85
11,4.98,0.73
12,5.45,-0.23
13,4.03,0.12
14,4.71,0.12
15,6.19,-0.06
16,4.64,1.04
17,6.96,-0.15
18,4.69,0.82
1,6.46,0.65
2,3.96,-1.91
3,4.09,0.21
4,5.44,0.56
5,6.35,-0.59
6,5.86,0.65
7,5.88,-0.41
8,5.78,1.09
9,3.59,1.09
10,4.50,0.12
11,5.07,0.82
12,5.12,-0.06
13,5.16,1.00
14,5.49,0.38
15,6.81,-0.32
16,4.97,1.00
17,8.52,0.12
18,5.76,0.56
1,6.94,0.49
2,3.70,0.57
3,4.51,0.32
4,4.98,0.53
5,6.75,0.14
6,7.30,-0.89
7,6.02,-0.63
8,5.24,0.53
9,3.96,0.57
10,4.88,0.57
11,5.06,0.66
12,5.03,0.53
13,4.23,-1.32
14,5.71,0.06
15,6.03,-1.75
16,4.44,0.49
17,7.20,-3.74
18,6.20,0.57
1,7.52,0.57
2,3.94,0.40
3,3.70,0.57
4,6.80,0.49
5,6.06,0.57
6,8.10,-0.46
7,6.41,-0.29
8,5.49,0.57
9,3.46,0.57
10,4.30,0.57
11,4.98,0.40
12,5.45,0.40
13,4.03,-0.03
14,4.71,-1.24
15,6.19,-1.58
16,4.64,0.57
17,6.96,-3.31
18,4.69,0.57
1,6.46,0.57
2,3.96,0.57
3,4.09,0.57
4,5.44,0.49
5,6.35,0.57
6,5.86,0.23
7,5.88,-0.37
8,5.78,0.57
9,3.59,0.57
10,4.50,0.57
11,5.07,0.57
12,5.12,0.53
13,5.16,0.44
14,5.49,-0.81
15,6.81,-1.06
16,4.97,0.57
17,8.52,-2.27
18,5.76,0.57
1,6.94,0.05
2,3.70,-1.79
3,4.51,-0.32
4,4.98,-0.69
5,6.75,0.78
6,7.30,-0.32
7,6.02,-1.42
8,5.24,0.78
9,3.96,0.78
10,4.88,0.78
11,5.06,0.42
12,5.03,0.05
